,sim_num,date_quarantined,q_on_ind_on,q_on_ind_off,q_on_ind_on_off,q_off_ind_on,q_off_ind_off,q_off_ind_on_off
386,3,2020-11-03,5,0,0,0,0,0
387,3,2020-11-04,3,0,0,0,0,0
388,3,2020-11-05,11,0,0,0,0,0
389,3,2020-11-06,19,0,0,0,0,0
390,3,2020-11-07,2,0,0,0,0,0
391,3,2020-11-08,0,0,0,0,0,0
392,3,2020-11-09,0,0,0,0,0,0
393,3,2020-11-10,0,0,0,0,0,0
394,3,2020-11-11,0,0,0,0,0,0
395,3,2020-11-12,0,0,0,1,0,0
396,3,2020-11-13,0,0,0,0,0,0
397,3,2020-11-14,0,0,0,0,0,0
398,3,2020-11-15,0,0,0,0,0,0
399,3,2020-11-16,0,0,0,0,0,0
400,3,2020-11-17,12,0,0,0,0,0
401,3,2020-11-18,1,0,0,0,0,0
402,3,2020-11-19,1,0,0,0,0,0
403,3,2020-11-20,0,0,0,0,0,0
404,3,2020-11-21,0,0,0,0,0,0
405,3,2020-11-22,0,0,0,0,0,0
406,3,2020-11-23,0,0,0,0,0,0
407,3,2020-11-24,1,0,0,0,0,0
408,3,2020-11-25,0,0,0,0,0,0
409,3,2020-11-26,0,0,0,0,0,0
410,3,2020-11-27,0,0,0,0,0,0
411,3,2020-11-28,0,0,0,0,0,0
412,3,2020-11-29,0,0,0,0,0,0
413,3,2020-11-30,0,0,0,0,0,0
414,3,2020-12-01,0,0,0,0,0,0
415,3,2020-12-02,0,0,0,0,0,0
416,3,2020-12-03,1,0,0,0,0,0
417,3,2020-12-04,0,0,0,0,0,0
418,3,2020-12-05,0,0,0,0,0,0
419,3,2020-12-06,14,0,0,1,0,0
420,3,2020-12-07,0,0,0,0,0,0
421,3,2020-12-08,1,0,0,0,0,0
422,3,2020-12-09,0,0,0,0,0,0
423,3,2020-12-10,1,0,0,1,0,0
424,3,2020-12-11,0,0,0,0,0,0
425,3,2020-12-12,1,0,0,0,0,0
426,3,2020-12-13,21,0,0,0,0,0
427,3,2020-12-14,0,0,0,0,0,0
428,3,2020-12-15,0,0,0,0,0,0
429,3,2020-12-16,4,0,0,0,0,0
430,3,2020-12-17,2,0,0,0,0,0
431,3,2020-12-18,0,0,0,0,0,0
432,4,2020-09-02,0,0,0,0,0,0
433,4,2020-09-03,0,0,0,0,0,0
434,4,2020-09-04,0,0,0,0,0,0
